keys,en,es
MENU_SUBTITLE,A Strategy Card Game,Un juego de cartas de estrategia
MENU_PLAY,Play,Jugar
MENU_LOAD,Load,Cargar
MENU_OPTIONS,Options,Opciones
MENU_TUTORIAL,Tutorial,Tutorial
MENU_EXIT,Exit,Salir
OPT_TITLE,OPTIONS,OPCIONES
OPT_LANGUAGE,Language,Idioma
OPT_FULLSCREEN_ON,Fullscreen: ON,Pantalla completa: SÍ
OPT_FULLSCREEN_OFF,Fullscreen: OFF,Pantalla completa: NO
UI_BACK,Back,Volver
UI_SELECT,Select,Seleccionar
UI_CANCEL,Cancel,Cancelar
UI_CLOSE,Close,Cerrar
UI_END_TURN,End turn,Terminar turno
UI_DEMOLISH,Demolish,Demoler
EMPSEL_TITLE,Choose Your Empire,Elige tu imperio
STAT_GOLD_LABEL,"Gold: ","Oro: "
STAT_FOOD_LABEL,"Food: ","Comida: "
AILOG_TITLE,AI Log,Registro IA
MAPMODE_TITLE,Map Modes,Modos de mapa
MAPMODE_POLITICAL,Political,Político
MAPMODE_BIOMES,Biomes,Biomas
MAPMODE_RESOURCES,Natural Resources,Recursos naturales
MAPMODE_LOCATION,Location Type,Tipo de localización
GEN_TITLE,⚙️ GENERATION SETTINGS,⚙️ AJUSTES DE GENERACIÓN
GEN_MODE,Generation:,Generación:
GEN_SEED,"Seed: ","Semilla: "
GEN_RADIUS,"World Radius: ","Radio del mundo: "
GEN_SHAPE,"Map shape: ","Forma del mapa: "
GEN_SHAPE_HEX,Hexagon,Hexágono
GEN_SHAPE_RECT,Rectangular,Rectangular
GEN_SHAPE_DIAMOND,Diamond,Rombo
GEN_SHAPE_CIRCLE,Circle,Círculo
GEN_BIOMES,"Biomes: ","Biomas: "
GEN_BUFFER,"Buffer: ","Margen: "
GEN_BUFFER_OUTER,Outer Buffer,Margen exterior
GEN_BUFFER_INNER,Inner Buffer,Margen interior
GEN_GENERATE,Generate Map,Generar mapa
TILE_GRASSLAND,Grassland,Pradera
TILE_FOREST,Forest,Bosque
TILE_DESERT,Desert,Desierto
TILE_SWAMP,Swamp,Pantano
TILE_TUNDRA,Tundra,Tundra
TILE_OCEAN,Ocean,Océano
TILE_MOUNTAIN,Mountain,Montaña
RIVAL_CARDS_PER_TURN,Cards/turn:,Cartas/turno:
RIVAL_DECK,Deck:,Mazo:
BUILDINGS_TITLE,Buildings,Edificios
CARDPILE_DISCARD_TITLE,Discard Pile,Pila de descarte
CARDPILE_EMPTY,No cards,No hay cartas
SHOP_BUY,Buy,Comprar
SHOP_PURGE_TAB,Purge deck,Purgar mazo
SHOP_CLOSE,Close shop,Cerrar tienda
MODIFIERS_TITLE,Modifiers,Modificadores
TILE_DEMOLISH_CONFIRM,Demolish building? This action cannot be undone.,¿Demoler edificio? Esta acción no se puede deshacer.
TOOLTIP_DEMOLISH_BUILDING,Demolish building,Demoler edificio
BLDCARD_COST,"Construction cost: ","Coste de construcción: "
BLDCARD_LOCATIONS,"Allowed locations: ","Localizaciones permitidas: "
BLDCARD_BIOMES,"Allowed biomes: ","Biomas permitidos: "
TROOPPOOL_TITLE,Recruited troops,Tropas reclutadas
TROOPPOOL_EMPTY,You have no recruited troops yet.,No tienes tropas reclutadas todavía.
